"","genotype","Tmem119","Gabbr1","Gabbr2","Cd164","Clec4a3","Ecscr","Fcrls","Gpr34","Laptm4a","Laptm5","P2ry12","P2ry13","Ppib","Selenok","Selenop","Tmem14c","Trem2","Tspan3","Tspan4","Tspan7","C1qc","Tmsb4x","Rps29","Ftl1","mt_Nd2","mt_Co3"
"2243","ctr",49.1398421628269,3.50998872591621,5.26498308887432,5.26498308887432,0,5.26498308887432,21.0599323554972,5.26498308887432,14.0399549036649,47.3848477998689,31.5898985332459,7.01997745183243,0,1.75499436295811,14.0399549036649,1.75499436295811,7.01997745183243,15.7949492666229,1.75499436295811,0,28.0799098073297,22.8149267184554,35.0998872591621,3.50998872591621,11.9084616000213,46.2998400849136
"2244","ctr",67.9547594277961,24.7108216101077,0,12.3554108050538,0,0,37.0662324151616,12.3554108050538,142.08722425812,80.3101702328501,67.9547594277961,6.17770540252694,0,18.5331162075808,98.8432864404309,6.17770540252694,6.17770540252694,74.1324648303229,18.5331162075808,0,43.2439378176885,67.9547594277961,117.376402648012,74.1324648303229,30.1874192265019,118.098699963675
"2245","ctr",48.7977058571887,10.8439346349308,13.5549182936635,27.1098365873271,0,0,21.6878692698616,13.5549182936635,13.5549182936635,59.6416404921194,35.2427875635252,21.6878692698616,0,5.42196731746539,43.3757385397232,2.71098365873271,5.42196731746539,16.2659019523962,0,0,62.3526241508522,29.8208202460597,21.6878692698616,8.1329509761981,8.22558528781701,26.1234180732605
"2246","ctr",56.4746809886458,0,3.52966756179037,10.5890026853711,0,7.05933512358071,31.7670080561131,17.6483378089518,21.1780053707422,74.1230187975976,60.004348550436,24.7076729325325,0,14.1186702471614,35.2966756179037,3.52966756179037,7.05933512358071,35.2966756179037,0,0,52.9450134268555,3.52966756179037,17.6483378089518,0,8.96676747397222,33.4198101885971
"2247","ctr",37.1914001311166,10.1431091266681,2.53577728166704,9.29785003277914,0.845259093889015,1.69051818777802,17.7504409716693,5.07155456333408,8.45259093889015,38.8819183188946,27.0482910044484,8.45259093889015,0,0.845259093889015,23.6672546288923,2.53577728166704,10.1431091266681,6.76207275111211,0,0.845259093889015,22.8219955350034,14.3694045961132,15.2146636900023,6.76207275111211,5.36448755491225,18.9176338966478
"2248","ctr",25.7802057002613,7.25068285319846,6.44505142506532,2.41689428439949,0,3.22252571253266,16.1126285626633,10.4732085657312,7.25068285319846,45.1153599754572,30.6139942690603,2.41689428439949,1.61126285626633,2.41689428439949,27.3914685565276,1.61126285626633,10.4732085657312,4.83378856879899,1.61126285626633,0,23.3633114158618,18.5295228470628,19.335154275196,12.8901028501306,5.71755013283251,22.7451504210552
"2249","ctr",41.5410210552902,10.2254821059176,6.3909263161985,6.3909263161985,0,5.75183368457863,20.4509642118352,7.03001894781834,12.781852632397,61.3528926355057,38.9846505288108,12.1427600007771,0.639092631619851,2.5563705264794,37.0673726339513,0.639092631619851,7.66911157943817,3.19546315809925,0.639092631619851,0,23.6464273699344,14.0600378956367,11.5036673691573,5.75183368457863,4.80975362723413,19.3550162125019
"2250","ctr",106.995751161826,3.68950866075264,0,18.4475433037632,3.68950866075264,11.0685259822579,36.8950866075264,33.2055779467736,33.2055779467736,118.064277144084,25.8265606252684,7.37901732150525,3.68950866075264,3.68950866075264,40.5845952682789,0,14.7580346430105,11.0685259822579,3.68950866075264,0,44.2741039290314,47.9636125897842,40.5845952682789,22.1370519645158,6.65845628006028,31.1867157026963
"2251","ctr",66.3068210906269,30.8403819026171,7.7100954756543,12.3361527610469,0,9.25211457078515,18.5042291415703,6.16807638052344,47.8025919490567,72.4748974711504,47.8025919490567,21.588267331832,10.794133665916,7.7100954756543,67.8488401857577,4.62605728539257,4.62605728539257,16.9622100464394,4.62605728539257,0,46.2605728539257,52.4286492344492,41.6345155685332,29.2983628074863,8.76290901285489,27.3609083356001
"2252","ctr",40.5841352297926,7.77143015038579,6.04444567252229,4.31746119465878,0.863492238931758,8.63492238931758,6.04444567252229,2.59047671679527,7.77143015038579,46.6285809023148,30.2222283626115,14.6793680618398,0,0.863492238931758,14.6793680618398,1.72698447786351,3.45396895572703,9.49841462824931,0.863492238931758,0,29.3587361236797,6.90793791145405,13.8158758229081,2.59047671679527,4.56611241978157,20.5784189111708
"2253","ctr",36.8362114693228,14.7344845877291,12.892674014263,6.75330543604251,1.22787371564409,3.68362114693228,27.01322174417,7.36724229386454,6.13936857822048,41.1337694740771,33.1525903223905,10.4369265829748,0.613936857822048,3.06968428911023,15.3484214455512,1.22787371564409,2.45574743128819,12.2787371564409,3.06968428911023,0,28.8550323176362,14.1205477299071,8.59511600950864,9.20905286733072,4.95561850454805,22.2019950492132
"2254","ctr",31.9054828050554,11.2896323771735,15.7073146117196,4.90853581616238,0,3.43597507131366,10.307925213941,5.39938939777861,10.307925213941,25.0335326624281,15.2164610301034,7.36280372424358,2.94512148969742,0.490853581616238,9.81707163232473,1.47256074484871,3.9268286529299,9.32621805070851,0,0,27.9786541521255,1.47256074484871,4.90853581616238,0.981707163232473,2.56926017664642,9.72040783649708
"2255","ctr",45.8389515432918,3.52607319563782,1.76303659781892,7.05214639127565,0,5.28910979345673,24.6825123694647,10.5782195869135,7.05214639127565,49.3650247389295,28.2085855651026,12.3412561847324,3.52607319563782,0,29.9716221629215,0,10.5782195869135,5.28910979345673,0,0,56.4171711302052,0,1.76303659781892,3.52607319563782,2.62958671601288,7.46901639482993
"2256","ctr",49.4124947604109,30.76627032252,13.0523571065236,11.1877346627345,0,5.59386733136727,30.76627032252,6.52617855326182,17.7139132159964,56.8709845355673,26.1047142130473,12.1200458846291,0.932311221894548,3.72924488757818,13.9846683284182,3.72924488757818,3.72924488757818,26.1047142130473,0.932311221894548,0,25.1724029911527,4.66155610947273,4.66155610947273,1.86462244378909,2.9204835488091,10.412378035046
"2257","ctr",47.1668797499822,16.6471340294055,5.54904467646849,5.54904467646849,0,2.77452233823425,19.4216563676397,0,24.9707010441082,41.6178350735138,38.8433127352794,8.32356701470275,0,2.77452233823425,47.1668797499822,5.54904467646849,2.77452233823425,24.9707010441082,2.77452233823425,0,41.6178350735138,8.32356701470275,5.54904467646849,2.77452233823425,7.38275423503089,23.3321513868173
